,p_np
[Cl].CC(C)NCC(O)COc1cccc2ccccc12,0.6486546993255615
C(=O)(OC(C)(C)C)CCCc1ccc(cc1)N(CCCl)CCCl,0.9628943204879761
c12c3c(N4CCN(C)CC4)c(F)cc1c(c(C(O)=O)cn2C(C)CO3)=O,0.1475876122713089
C1CCN(CC1)Cc1cccc(c1)OCCCNC(=O)C,0.9764539003372192
Cc1onc(c2ccccc2Cl)c1C(=O)N[C@H]3[C@H]4SC(C)(C)[C@@H](N4C3=O)C(O)=O,0.07742239534854889
CCN1CCN(C(=O)N[C@@H](C(=O)N[C@H]2[C@H]3SCC(=C(N3C2=O)C(O)=O)CSc4nnnn4C)c5ccc(O)cc5)C(=O)C1=O,0.1940004788339138
CN(C)[C@H]1[C@@H]2C[C@H]3C(=C(O)c4c(O)cccc4[C@@]3(C)O)C(=O)[C@]2(O)C(=O)\C(=C(/O)NCN5CCCC5)C1=O,0.12005106856425603
Cn1c2CCC(Cn3ccnc3C)C(=O)c2c4ccccc14,0.9689194957415262
COc1ccc(cc1)[C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)[C@@H]2OC(C)=O,0.9659688870112101
NC(N)=NC(=O)c1nc(Cl)c(N)nc1N,0.8578994671503702
OCC(C)(O)c1onc(c2ncn3c2CN(C)C(c4c3cccc4Cl)=O)n1,0.22033401081959406
CC1=CN([C@H]2C[C@H](F)[C@@H](CO)O2)C(=O)NC1=O,0.9153355558713278
C(Cl)Cl,0.9837948679924011
C1N(C(CC2CCCCC12)C(NC(C)(C)C)=O)CC(C(Cc1ccccc1)NC(C(NC(c1nc2c(cccc2)cc1)=O)CC(N)=O)=O)O,0.5808387696743011
CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c2ccccc2,0.9648308753967285
CCN1N=NN(CCN2CCC(CC2)(COC)N(C(=O)CC)c3ccccc3)C1=O,0.9601395527521769
CN(C)C(=O)C(CCN1CCC(O)(CC1)c1ccc(Cl)cc1)(c1ccccc1)c1ccccc1,0.7897120912869772
CN1C2CCC1CC(C2)OC(=O)[C@H](CO)c3ccccc3,0.7895521521568298
COc1ccc(Cl)cc1C(=O)NCCc2ccc(cc2)[S](=O)(=O)NC(=O)NC3CCCCC3,0.9143561919530233
